mul_name,structure,application,ME,gate_counts,accuracy,power,area,delay
mul8_0,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,tree_1,tree_2,tree_1,tree_2",resnet18_cifar10,-0.5550853350231055,276,0.9211000204086304,165.8,217.776004,0.63796
mul8_1,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_2,tree_1,tree_1",resnet18_cifar10,-0.3067835492602433,285,0.9241999983787536,168.0,226.980004,0.67322
mul8_2,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_2,tree_1,tree_3,tree_1,tree_2",resnet18_cifar10,-1.7298051144751183,269,0.8600000143051147,159.20000000000002,204.360004,0.63151
mul8_3,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_7,tree_1,tree_3,tree_1,tree_10",resnet18_cifar10,-2.505325146829517,264,0.824400007724762,156.29999999999998,201.708003,0.63627
mul8_4,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_1,tree_5,tree_0",resnet18_cifar10,-0.0312513882694771,303,0.9257000088691713,175.2,236.340004,0.72693
mul8_5,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_0,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_2,tree_3,tree_3,tree_1,tree_3",resnet18_cifar10,-3.237614517275335,266,0.1013000011444091,162.8,205.608003,0.66196
mul8_6,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_2,mul2_2,mul2_2,tree_1,tree_2,tree_1,tree_10",resnet18_cifar10,-3.1949711362982223,262,0.7633000016212463,160.0,203.268004,0.61464
mul8_7,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_2,tree_1,tree_3",resnet18_cifar10,-0.2150334483865046,287,0.9254999756813048,170.2,231.504003,0.65254
mul8_8,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_1,mul2_3,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_4,tree_1,tree_3,tree_1,tree_10",resnet18_cifar10,-3.050017694060012,261,0.2590999901294708,149.4,201.864003,0.611
mul8_9,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_2,tree_1,tree_0",resnet18_cifar10,-0.0463934883735307,298,0.925000011920929,174.7,235.872004,0.68924
mul8_10,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,tree_1,tree_2,tree_1,tree_10",resnet18_cifar10,-1.2630893986004987,268,0.8722000122070312,163.70000000000002,212.784004,0.66871
mul8_11,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_0,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_2,tree_1,tree_2,tree_1,tree_10",resnet18_cifar10,-1.937243978943012,264,0.8411999940872192,157.1,203.892004,0.60753
mul8_12,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,tree_1,tree_3,tree_1,tree_3",resnet18_cifar10,-0.4889836490307563,280,0.9221000075340272,166.4,218.400004,0.66709
mul8_13,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_0,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,tree_1,tree_3,tree_1,tree_3",resnet18_cifar10,-0.4490686575187824,282,0.9210000038146972,163.6,222.612004,0.6744
mul8_14,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,tree_1,tree_2,tree_1,tree_3",resnet18_cifar10,-0.4889836490307563,278,0.9225000143051147,168.4,221.052004,0.66461
mul8_15,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_3,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,tree_1,tree_2,tree_1,tree_10",resnet18_cifar10,-1.5884566798637345,266,0.7666000127792358,161.20000000000002,212.004004,0.6653
mul8_16,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_2,tree_1,tree_11",resnet18_cifar10,-0.3689145919258189,283,0.9236000180244446,172.4,228.072004,0.68096
mul8_17,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_2,tree_1,tree_3,tree_1,tree_3",resnet18_cifar10,-1.7298051144751183,271,0.8601999878883362,159.5,205.452003,0.64869
mul8_18,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_1,mul2_3,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_4,tree_1,tree_2,tree_1,tree_10",resnet18_cifar10,-3.050017694060012,259,0.2583000063896179,155.20000000000002,204.672004,0.62792
mul8_19,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_0,mul2_3,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_7,tree_1,tree_2,tree_1,tree_10",resnet18_cifar10,-3.1280567377836586,259,0.4738000035285949,155.79999999999998,204.828004,0.62792
mul8_20,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,tree_1,tree_3,tree_1,tree_10",resnet18_cifar10,-1.2630893986004987,270,0.8734999895095825,160.39999999999998,208.728004,0.6352
mul8_21,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_0,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_2,tree_3,tree_3,tree_1,tree_10",resnet18_cifar10,-3.3748169802105905,262,0.1004000008106231,160.70000000000002,203.736003,0.61293
mul8_22,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_7,tree_1,tree_2,tree_1,tree_10",resnet18_cifar10,-2.505325146829517,262,0.8234999775886536,156.4,206.388004,0.60756
mul8_23,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_0,tree_0,tree_0,tree_0",resnet18_cifar10,0.0,316,0.9247999787330629,183.0,245.388005,0.71641
mul8_24,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,tree_1,tree_3,tree_1,tree_3",resnet18_cifar10,-1.125886935665243,274,0.8769999742507935,160.5,209.196004,0.62976
mul8_25,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,tree_1,tree_2,tree_1,tree_10",resnet18_cifar10,-0.9623076871280766,271,0.8805999755859375,163.89999999999998,212.628004,0.65399
mul8_26,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_0,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_4,tree_1,tree_2,tree_1,tree_10",resnet18_cifar10,-1.689562423482315,265,0.8501999974250793,159.5,210.288004,0.66322
mul8_27,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,tree_1,tree_2,tree_1,tree_2",resnet18_cifar10,-0.3517457796279024,282,0.9254999756813048,166.1,223.080004,0.64557
mul8_28,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_2,tree_1,tree_0",resnet18_cifar10,-0.16213053893621,292,0.9247000217437744,169.9,231.504004,0.74945
mul8_29,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_0,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_2,tree_1,tree_2,tree_1,tree_2",resnet18_cifar10,-1.800041516007756,266,0.8482000231742859,157.1,205.452004,0.62062
mul8_30,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_1,tree_5,tree_0",resnet18_cifar10,-0.0025329234695043,306,0.9261000156402588,175.7,240.084004,0.67121
mul8_31,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_3,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_4,tree_1,tree_2,tree_1,tree_10",resnet18_cifar10,-2.548611482022789,261,0.7146000266075134,156.9,206.076004,0.60756
mul8_32,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_3,tree_1,tree_1",resnet18_cifar10,-0.1966321562156322,290,0.9235000014305116,164.1,228.384003,0.66262
mul8_33,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_0,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,tree_1,tree_3,tree_1,tree_3",resnet18_cifar10,-1.1961233371978803,273,0.867900013923645,159.6,209.664004,0.62976
mul8_34,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_0,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_7,tree_1,tree_2,tree_1,tree_2",resnet18_cifar10,-2.4383590854268986,263,0.8220999836921692,155.1,204.360004,0.61765
mul8_35,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_0,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_2,tree_3,tree_2,tree_1,tree_10",resnet18_cifar10,-3.3748169802105905,260,0.1005999967455864,158.0,202.644003,0.60479
mul8_36,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_1,tree_1,tree_1",resnet18_cifar10,-0.0375075365487761,300,0.9253000020980836,164.6,237.276004,0.6603
mul8_37,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_0,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,tree_1,tree_3,tree_1,tree_10",resnet18_cifar10,-1.333325800133136,269,0.8634999990463257,159.5,209.196004,0.6352
mul8_38,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_3,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_2,tree_1,tree_3,tree_1,tree_3",resnet18_cifar10,-2.0551723957383543,269,0.748199999332428,158.0,207.324003,0.62257
mul8_39,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_2,tree_1,tree_1",resnet18_cifar10,-0.1034439938650401,291,0.9248999953269958,166.4,231.816004,0.6479
mul8_40,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_0,mul2_3,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_7,tree_1,tree_3,tree_1,tree_10",resnet18_cifar10,-3.1280567377836586,261,0.4742000102996826,152.60000000000002,202.956003,0.60785
mul8_41,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_3,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_7,tree_1,tree_2,tree_1,tree_10",resnet18_cifar10,-2.830692428092753,260,0.6930999755859375,156.5,205.920004,0.60756
mul8_42,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,tree_1,tree_3,tree_1,tree_2",resnet18_cifar10,-1.125886935665243,272,0.8765000104904175,160.5,209.196004,0.62976
mul8_43,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_3,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_2,tree_1,tree_3,tree_1,tree_10",resnet18_cifar10,-2.19237485867361,265,0.7372000217437744,154.79999999999998,204.984004,0.6248
mul8_44,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_1,mul2_0,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_7,tree_1,tree_3,tree_1,tree_10",resnet18_cifar10,-3.076967760399377,261,0.5274999737739563,155.20000000000002,203.112004,0.64144
mul8_45,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_2,tree_1,tree_2,tree_1,tree_3",resnet18_cifar10,-1.7298051144751183,269,0.8587999939918518,162.5,208.884004,0.61634
mul8_46,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_0,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,tree_1,tree_3,tree_1,tree_10",resnet18_cifar10,-1.032544088660714,272,0.8741000294685364,161.70000000000002,211.692004,0.64219
mul8_47,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,tree_1,tree_2,tree_1,tree_9",resnet18_cifar10,-1.6981794531379233,263,0.855400025844574,164.1,211.068004,0.67921
mul8_48,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_3,tree_1,tree_1",resnet18_cifar10,-0.0747261311108605,296,0.925100028514862,167.4,238.212003,0.6664
mul8_49,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,tree_1,tree_2,tree_1,tree_3",resnet18_cifar10,-0.2856440936355531,284,0.9254000186920166,164.39999999999998,226.824004,0.64209
mul8_50,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,tree_1,tree_3,tree_1,tree_3",resnet18_cifar10,-0.3788322559861451,283,0.9247999787330629,164.1,222.300003,0.6676
mul8_51,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_0,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_4,tree_1,tree_3,tree_1,tree_10",resnet18_cifar10,-1.689562423482315,267,0.849399983882904,159.20000000000002,208.728004,0.63504
mul8_52,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,tree_1,tree_3,tree_1,tree_10",resnet18_cifar10,-0.9623076871280766,273,0.8809999823570251,162.6,211.224004,0.64219
mul8_53,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_0,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_2,tree_1,tree_2,tree_1,tree_3",resnet18_cifar10,-1.800041516007756,268,0.8482000231742859,160.70000000000002,207.636003,0.62012
mul8_54,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_0,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,tree_1,tree_2,tree_1,tree_10",resnet18_cifar10,-1.333325800133136,267,0.8633999824523926,161.0,209.976004,0.67412
mul8_55,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_2,tree_2,tree_2,tree_1,tree_10",resnet18_cifar10,-3.3045976875613903,259,0.1011999994516372,159.1,204.360004,0.63579
