mul_name,structure,application,ME,gate_counts,accuracy,Power,Area,Delay,PDP,ADP
mul8_70,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_0,tree_1,tree_0",resnet18_cifar10,-0.0271150711889218,305,0.9262999892234802,172.5,236.808004,0.70365,121.379625,166.6299520146
mul8_30,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_1,tree_5,tree_0",resnet18_cifar10,-0.0025329234695043,306,0.9261000156402588,175.7,240.084004,0.67121,117.93159699999998,161.14678432483998
mul8_74,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_2,tree_5,tree_1",resnet18_cifar10,-0.1029709980651905,293,0.9257000088691713,171.6,234.156004,0.67274,115.442184,157.52611013096
mul8_72,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_3,tree_1,tree_11",resnet18_cifar10,-0.1655750365306157,291,0.9254999756813048,170.3,232.908004,0.64892,110.51107600000002,151.13866195568002
mul8_102,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,tree_1,tree_1,tree_1,tree_1",resnet18_cifar10,-0.066226001348749,297,0.9254999756813048,166.8,233.220004,0.65763,109.69268400000001,153.37247123052
mul8_27,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,tree_1,tree_2,tree_1,tree_2",resnet18_cifar10,-0.3517457796279024,282,0.9254999756813048,166.1,223.080004,0.64557,107.22917699999999,144.01375818228
mul8_49,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,tree_1,tree_2,tree_1,tree_3",resnet18_cifar10,-0.2856440936355531,284,0.9254000186920166,164.39999999999998,226.824004,0.64209,105.559596,145.64142472836002
mul8_77,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,tree_1,tree_3,tree_1,tree_3",resnet18_cifar10,-0.2856440936355531,286,0.9254000186920166,164.5,227.760004,0.64132,105.49714,146.06704576528
mul8_141,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_0,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,tree_1,tree_2,tree_1,tree_3",resnet18_cifar10,-0.3558804951681904,283,0.9243000149726868,164.3,227.604004,0.64143,105.386949,145.99203628572
mul8_115,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_0,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,tree_1,tree_3,tree_1,tree_3",resnet18_cifar10,-0.3558804951681904,285,0.9240999817848206,164.20000000000002,227.604004,0.64143,105.322806,145.99203628572
mul8_99,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,tree_1,tree_2,tree_1,tree_2",resnet18_cifar10,-0.4449339419784944,279,0.9240000247955322,165.6,221.520004,0.63409,105.00530400000001,140.46361933636
mul8_71,"mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_2,mul2_acc,mul2_acc,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_acc,mul2_2,mul2_acc,mul2_2,tree_1,tree_3,tree_1,tree_10",resnet18_cifar10,-0.9930695094307836,273,0.916800022125244,165.3,212.784004,0.63521,105.00021300000002,135.16252718084002
